frequency_GHz,TE_reflection_real,TE_reflection_imag,TE_reflection_dB,TM_reflection_real,TM_reflection_imag,TM_reflection_dB
10.308000,0.049853874,-0.086224633,-20.034841,0.048766189,-0.089657326,-19.82275
10.312000,0.049216191,-0.087013296,-20.002803,0.048097576,-0.090450395,-19.79032
10.316000,0.048569763,-0.087799384,-19.970674,0.047420093,-0.091240666,-19.757802
10.320000,0.047914571,-0.088582837,-19.938453,0.046733722,-0.092028078,-19.725196
10.324000,0.047250596,-0.089363595,-19.906141,0.046038443,-0.092812569,-19.692501
10.328000,0.046577821,-0.090141598,-19.873736,0.04533424,-0.093594075,-19.659717
10.332000,0.045896227,-0.090916783,-19.841239,0.044621094,-0.094372534,-19.626844
10.336000,0.045205795,-0.091689088,-19.808649,0.043898987,-0.09514788,-19.593882
10.340000,0.044506506,-0.092458451,-19.775966,0.043167902,-0.095920048,-19.56083
10.344000,0.043798344,-0.093224806,-19.74319,0.042427821,-0.096688972,-19.527689
10.348000,0.04308129,-0.093988089,-19.710321,0.041678726,-0.097454585,-19.494458
10.352000,0.042355325,-0.094748234,-19.677359,0.0409206,-0.098216818,-19.461137
10.356000,0.041620432,-0.095505175,-19.644302,0.040153426,-0.098975602,-19.427727
10.360000,0.040876593,-0.096258844,-19.611153,0.039377188,-0.099730869,-19.394227
10.364000,0.040123792,-0.097009172,-19.577909,0.038591867,-0.10048255,-19.360637
10.368000,0.03936201,-0.09775609,-19.544572,0.037797449,-0.10123056,-19.326957
10.372000,0.03859123,-0.098499529,-19.51114,0.036993916,-0.10197485,-19.293188
10.376000,0.037811437,-0.099239416,-19.477615,0.036181253,-0.10271532,-19.259329
10.380000,0.037022613,-0.099975681,-19.443996,0.035359444,-0.10345192,-19.22538
10.384000,0.036224741,-0.10070825,-19.410283,0.034528474,-0.10418456,-19.191342
10.388000,0.035417807,-0.10143705,-19.376476,0.033688327,-0.10491316,-19.157214
10.392000,0.034601794,-0.102162,-19.342575,0.032838989,-0.10563766,-19.122997
10.396000,0.033776687,-0.10288304,-19.308581,0.031980445,-0.10635796,-19.088691
10.400000,0.03294247,-0.10360007,-19.274494,0.031112683,-0.107074,-19.054296
10.404000,0.03209913,-0.10431303,-19.240312,0.030235687,-0.10778569,-19.019813
